Network,N_Nodes,Target_Bucket,H_Ratio,N_Hidden,Target_Node,Target_Value,Status,Wall_Hits,Attempts_OK,SDP_Failures,Exact_SDP,Exact_Time_sec,Exact_Mem_MB_Python,Exact_Mem_MB_RSS,Max_Partition_Size,Max_Tensor_Size,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Mem_MB_Python,MCMC_Mem_MB_RSS,Absolute_Error
alarm,37,0.4,0.1,3,HYPOVOLEMIA,FALSE,OK,0,686,0,0.4357685191764207,0.0056362152099609375,0.1567535400390625,0.0,1.0,3.0,0.43520000000000003,7.289333333333321e-05,2.5094812870025636,0.26293182373046875,0.0,0.0005685191764206454
alarm,37,0.5,0.1,3,HYPOVOLEMIA,FALSE,BUCKET_NOT_FOUND,0,686,0,,,,,,,,,,,,
alarm,37,0.7,0.1,3,HYPOVOLEMIA,FALSE,OK,0,686,0,0.7469330529267438,0.008795976638793945,0.1535778045654297,0.0,2.0,9.0,1.0,0.0,2.1697171211242674,0.25858306884765625,0.0,0.25306694707325617
alarm,37,0.8,0.1,3,HYPOVOLEMIA,FALSE,OK,0,686,0,0.8135644923483655,0.009243488311767578,0.15406227111816406,0.0,1.0,4.0,0.8113333333333334,6.81555555555555e-05,2.8024599313735963,0.3349761962890625,0.0,0.0022311590150321248
alarm,37,0.9,0.1,3,HYPOVOLEMIA,FALSE,BUCKET_NOT_FOUND,0,686,0,,,,,,,,,,,,
alarm,37,1.0,0.1,3,HYPOVOLEMIA,FALSE,OK,0,686,0,1.0,0.008941650390625,0.15024757385253906,0.0,1.0,4.0,1.0,0.0,2.6358683347702025,0.3272514343261719,0.0,0.0
alarm,37,0.4,0.25,9,HYPOVOLEMIA,FALSE,OK,0,139,0,0.3809141940657578,0.006210803985595703,0.15138626098632812,0.0,5.0,288.0,0.3814,3.21511111111111e-05,3.1350124359130858,0.3541221618652344,0.0,0.00048580593424218943
alarm,37,0.5,0.25,9,HYPOVOLEMIA,FALSE,OK,0,139,0,0.508074933758544,0.006468534469604492,0.1432514190673828,0.0,3.0,12.0,0.5108333333333335,2.9783333333333496e-05,2.7179245233535765,0.33638763427734375,0.0,0.0027583995747895163
alarm,37,0.7,0.25,9,HYPOVOLEMIA,FALSE,OK,0,139,0,0.7194896195095086,0.009585857391357422,0.14146041870117188,0.0,4.0,192.0,0.7095999999999999,0.0002321511111111113,2.9861432313919067,0.3335990905761719,0.0,0.00988961950950873
alarm,37,0.8,0.25,9,HYPOVOLEMIA,FALSE,OK,0,139,0,0.7766203703703702,0.009627819061279297,0.13986587524414062,0.0,3.0,36.0,0.7794666666666666,8.269333333333332e-05,2.3023574113845826,0.28922271728515625,0.0,0.0028462962962964022
alarm,37,0.9,0.25,9,HYPOVOLEMIA,FALSE,OK,0,139,0,0.9044669408614163,0.00640416145324707,0.14183616638183594,0.0,4.0,96.0,0.9044333333333332,1.629000000000007e-05,2.898345446586609,0.264190673828125,0.0,3.360752808312384e-05
alarm,37,1.0,0.25,9,HYPOVOLEMIA,FALSE,OK,0,139,0,0.9999999999999999,0.009445667266845703,0.14172744750976562,0.0,4.0,128.0,1.0,0.0,2.8731226682662965,0.31800079345703125,0.0,1.1102230246251565e-16
alarm,37,0.4,0.5,18,HYPOVOLEMIA,FALSE,OK,1,241,0,0.3809141940657578,0.3521244525909424,205.11724090576172,628.4375,14.0,1492992.0,0.3867,5.727666666666652e-05,3.150610828399658,0.3394126892089844,0.0,0.005785805934242161
alarm,37,0.5,0.5,18,HYPOVOLEMIA,FALSE,OK,1,241,0,0.5409695212268025,1.0404794216156006,1384.0401802062988,3878.4375,15.0,10077696.0,0.5486666666666667,7.040000000000006e-05,2.8483776092529296,0.32982444763183594,0.0,0.007697145439864217
alarm,37,0.7,0.5,18,HYPOVOLEMIA,FALSE,OK,1,241,0,0.731750316383933,0.06405186653137207,136.76973724365234,395.0625,13.0,995328.0,0.7396333333333335,0.0006671433333333338,2.8296162843704225,0.3260688781738281,0.0,0.007883016949400523
alarm,37,0.8,0.5,18,HYPOVOLEMIA,FALSE,OK,1,241,0,0.7700251716626978,0.01692366600036621,0.4502983093261719,0.0,9.0,2592.0,0.7599,0.000696067777777777,2.747335648536682,0.34197235107421875,0.0,0.010125171662697774
alarm,37,0.9,0.5,18,HYPOVOLEMIA,FALSE,OK,1,241,0,0.9423541099207972,0.008823394775390625,0.6232643127441406,0.0,9.0,3888.0,0.9428666666666666,4.9871111111110774e-05,3.0172028064727785,0.3415374755859375,0.0,0.0005125567458694746
alarm,37,1.0,0.5,18,HYPOVOLEMIA,FALSE,OK,1,241,0,1.0,0.008881330490112305,0.9275550842285156,0.0,7.0,6144.0,1.0,0.0,2.6037680387496946,0.3004913330078125,0.0,0.0
