regime,description,alpha,beta,seed,exact_sdp,rhat,delta_final,chain_mean,error,bimodal_flag,wrong_flag,any_failure,suggested_burnin,suggested_thinning,chain1_final,chain2_final,chain3_final,chain4_final,chain5_final,chain6_final,chain7_final,chain8_final
original,Original Win95pts CPDs (unchanged),0.0,0.0,0,0.960715174943617,1.5647343114224177,0.9072,0.33054375,0.630171424943617,True,False,True,14673,911,0.1307,0.8951,0.9779,0.1531,0.0707,0.0959,0.1598,0.161
rigid_extreme,Bimodal: CPDs overwhelmingly near 0 or 1,0.2,0.2,0,0.9999796622136282,1.0023932630968786,0.006549999999999945,0.9984875,0.0014921622136282453,False,False,False,2316,1000,1.0,0.9999,1.0,0.9935,0.9949,1.0,0.9997,1.0
rigid_moderate,U-shaped: CPDs skewed toward extremes,0.5,0.5,0,0.8927907840165833,1.0048670974624792,0.09595,0.13006875,0.7627220340165832,False,True,True,16104,584,0.1443,0.0962,0.1298,0.1391,0.0974,0.1612,0.0883,0.1842
uniform,Uniform: all CPD values equally likely,1.0,1.0,0,0.7954791887193032,1.0017893797427524,0.07904999999999995,0.7791125000000001,0.016366688719303135,False,False,False,7101,101,0.8107,0.7936,0.763,0.772,0.7317,0.7977,0.7879,0.7763
uncertain_moderate,Bell-shaped: CPDs concentrated near 0.5,3.0,3.0,0,0.8618615203783652,1.0003495869366141,0.02760000000000007,0.859225,0.002636520378365148,False,False,False,5154,267,0.8796,0.8681,0.8562,0.8528,0.8552,0.8541,0.8559,0.8519
uncertain_strong,Tightly concentrated near 0.5,10.0,10.0,0,0.8290845080839493,1.000217367941173,0.024249999999999994,0.83239375,0.0033092419160507536,False,False,False,3461,66,0.8225,0.8312,0.8232,0.8298,0.84,0.8468,0.8318,0.8339
spread_bias_low,"Spread + biased low: mean(p) ≈ 0.20, some variance",0.5,2.0,0,0.9973402372439722,1.000533762280031,0.0052,0.00313125,0.9942089872439722,False,True,True,0,91,0.0058,0.0043,0.0013,0.0026,0.0006,0.0017,0.0042,0.0046
concentrated_bias_low,"Concentrated near 0: mean(p) ≈ 0.17, low variance",1.0,5.0,0,0.9380853488361843,1.0011825808046775,0.02735,0.055393750000000005,0.8826915988361843,False,True,True,1557,173,0.0651,0.0688,0.0556,0.0415,0.0488,0.0536,0.0675,0.0422
spread_bias_high,"Spread + biased high: mean(p) ≈ 0.80, some variance",2.0,0.5,0,0.996400096575492,1.000756139288896,0.007099999999999995,0.9971125,0.0007124034245079569,False,False,False,0,94,0.9972,0.9983,0.9922,0.9971,0.9993,0.9981,0.9971,0.9973
concentrated_bias_high,"Concentrated near 1: mean(p) ≈ 0.83, low variance",5.0,1.0,0,0.6923787500842167,1.0035412582657213,0.12,0.32966249999999997,0.3627162500842167,True,False,True,5790,139,0.311,0.3319,0.3453,0.4144,0.3244,0.2987,0.2944,0.3172
