Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB,PT_Absolute_Error
bn_n50_w2_concentrated_bias_low.bif,50,2,concentrated_bias_low,0.25,0.4,X11,1,0.4216966356778457,0.027565717697143555,0.41020965576171875,0.42190000000000005,0.00012709,1.0829673290252686,0.10203170776367188,0.00020336432215434241,0.42060000000000003,0.00014064000000000006,4.530796313285828,0.20828914642333984,0.001096635677845681
bn_n50_w2_concentrated_bias_low.bif,50,2,concentrated_bias_low,0.25,0.5,X11,1,0.4686735245217351,0.028899192810058594,0.3907470703125,0.4648,4.135999999999986e-05,1.0481623888015748,0.09922313690185547,0.0038735245217351166,0.4678,0.0001631599999999997,4.329651308059693,0.20467281341552734,0.000873524521735114
bn_n50_w2_concentrated_bias_low.bif,50,2,concentrated_bias_low,0.25,0.7,X11,1,0.735003049109953,0.026275634765625,0.41439151763916016,0.7344,0.00017764000000000034,0.9978294849395752,0.09502696990966797,0.0006030491099529023,0.7293000000000001,8.501000000000014e-05,4.109732270240784,0.19286251068115234,0.005703049109952896
bn_n50_w2_concentrated_bias_low.bif,50,2,concentrated_bias_low,0.25,0.8,X11,1,0.8040982178197257,0.02737283706665039,0.40878772735595703,0.8009000000000001,0.0002494899999999995,0.9915767669677734,0.09622478485107422,0.003198217819725624,0.8015000000000001,6.704999999999984e-05,4.1887757062911986,0.19277095794677734,0.002598217819725579
bn_n50_w2_concentrated_bias_low.bif,50,2,concentrated_bias_low,0.25,0.9,X11,1,0.8762881385197234,0.030063152313232422,0.45291900634765625,0.8689,0.00013909000000000021,1.021809196472168,0.09527111053466797,0.0073881385197234195,0.8737,0.00012221000000000023,4.366950273513794,0.19699764251708984,0.002588138519723393
bn_n50_w2_concentrated_bias_low.bif,50,2,concentrated_bias_low,0.25,1.0,X11,1,0.963402667881462,0.03052663803100586,0.4277772903442383,0.9677999999999999,2.1160000000000038e-05,1.1306090354919434,0.10092449188232422,0.004397332118537878,0.9602,2.4560000000000043e-05,4.772467875480652,0.2207937240600586,0.0032026678814619514
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,0.4,X20,1,0.3610373006632405,0.02842235565185547,0.46685791015625,0.359,0.00035259999999999984,1.0843246459960938,0.09859848022460938,0.0020373006632405377,0.36429999999999996,0.00023561000000000017,4.4916239976882935,0.21297359466552734,0.0032626993367594337
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,0.5,X20,1,0.5183238141941153,0.027207136154174805,0.41785430908203125,0.5226000000000001,0.0004910399999999997,0.98292076587677,0.09602642059326172,0.004276185805884736,0.522,0.00037540000000000067,4.044933557510376,0.19260311126708984,0.003676185805884691
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,0.6,X20,1,0.5606330760942977,0.027022123336791992,0.43417835235595703,0.5582,0.0002693599999999991,0.9216724395751953,0.09604167938232422,0.0024330760942976593,0.5639000000000001,0.0004696899999999989,3.9596938371658323,0.1855916976928711,0.003266923905702379
bn_n50_w2_rigid_moderate.bif,50,2,rigid_moderate,0.25,0.7,X20,1,0.7059970660345205,0.026512622833251953,0.416961669921875,0.7025,0.0002458499999999995,1.0042803764343262,0.09701061248779297,0.0034970660345204907,0.7044,0.00014603999999999973,4.192440867424011,0.1986989974975586,0.001597066034520478
