Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.4,X4,1,0.409848018643303,0.06865644454956055,0.8229265213012695,0.0,0.40490000000000004,0.0003080899999999998,0.9940458536148071,0.16942596435546875,0.0,0.004948018643302965,0.40920000000000006,0.00024435999999999973,4.324754047393799,0.287506103515625,0.0,0.0006480186433029389
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,0.9,X4,1,0.8521289918624688,0.05705547332763672,0.7931947708129883,0.0,0.8571,0.00015349000000000027,1.1042492151260377,0.1721658706665039,0.0,0.004971008137531152,0.8457999999999999,7.396000000000013e-05,4.586282253265381,0.2903261184692383,0.0,0.006328991862468936
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.25,1.0,X4,1,1.0,0.062361955642700195,0.7846193313598633,0.0,1.0,0.0,1.088711714744568,0.16938114166259766,0.0,0.0,1.0,0.0,4.208769583702088,0.3199748992919922,0.0,0.0
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,0.9,X4,1,0.9440435563557789,0.030315399169921875,0.6581401824951172,0.0,0.9438999999999999,8.928999999999957e-05,1.04691641330719,0.17482948303222656,0.0,0.0001435563557790065,0.9424999999999999,0.00011024999999999932,4.094355773925781,0.28975772857666016,0.0,0.0015435563557789633
bn_n100_w2_concentrated_bias_high.bif,100,2,concentrated_bias_high,0.5,1.0,X4,1,0.9520122788135503,0.03729104995727539,0.6948223114013672,0.0,0.9504999999999999,4.825000000000009e-05,0.9659544467926026,0.1758747100830078,0.0,0.0015122788135504273,0.9555,2.0850000000000036e-05,3.8007751226425173,0.28992557525634766,0.0,0.003487721186449688
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.5,X65,1,0.5175279762079869,0.06366229057312012,0.8091707229614258,0.0,0.5108,0.0002765600000000005,1.1212952375411986,0.17263031005859375,0.0,0.006727976207986819,0.5218,0.00028276000000000055,4.598375678062439,0.28639984130859375,0.0,0.004272023792013191
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.7,X65,1,0.7107677922963295,0.07107400894165039,0.8004426956176758,0.0,0.7101,0.00015489000000000027,1.0366575956344604,0.16951847076416016,0.0,0.0006677922963295169,0.7121999999999999,0.00032376000000000063,4.309622740745544,0.28479480743408203,0.0,0.001432207703670474
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,0.9,X65,1,0.8872640466389679,0.05469703674316406,0.788334846496582,0.0,0.8878,6.116000000000011e-05,1.1058039665222168,0.16989994049072266,0.0,0.000535953361032182,0.8848,9.336000000000015e-05,4.2068171262741085,0.28515625,0.0,0.0024640466389678206
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.25,1.0,X65,1,1.0,0.07001256942749023,0.7823772430419922,0.0,1.0,0.0,0.9291204214096069,0.16634559631347656,0.0,0.0,1.0,0.0,3.8220107316970826,0.27042484283447266,0.0,0.0
bn_n100_w2_concentrated_bias_low.bif,100,2,concentrated_bias_low,0.5,0.4,X65,1,0.44989423150448443,0.0344548225402832,0.6245326995849609,0.0,0.44610000000000005,0.00018209000000000004,1.0749336004257202,0.17870521545410156,0.0,0.00379423150448438,0.4394,0.00022323999999999998,4.377127528190613,0.31841468811035156,0.0,0.01049423150448442
