Network,N_Nodes,Density,Rigidity,Hidden_Ratio,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,Exact_Peak_Memory_MB_Python,Exact_Peak_Memory_MB_RSS,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,MCMC_Peak_Memory_MB_Python,MCMC_Peak_Memory_MB_RSS,Absolute_Error,PT_MCMC_Mean_SDP,PT_MCMC_Variance,PT_MCMC_Avg_Time_sec,PT_Peak_Memory_MB_Python,PT_Peak_Memory_MB_RSS,PT_Absolute_Error
bn_n20_w2_concentrated_bias_high.bif,20,2,concentrated_bias_high,0.25,0.6,X18,1,0.6241962414225815,0.01178121566772461,0.21403121948242188,0.0,0.6211,0.00018029000000000032,0.9308817863464356,0.08095359802246094,0.0,0.0030962414225814694,0.6237,0.00028741000000000053,3.8903209447860716,0.17609596252441406,0.0,0.0004962414225814227
bn_n20_w2_concentrated_bias_high.bif,20,2,concentrated_bias_high,0.25,0.8,X18,1,0.7848996118202207,0.01201486587524414,0.20949935913085938,0.0,0.7866,9.884000000000019e-05,1.1398691415786744,0.09229087829589844,0.0,0.0017003881797792442,0.7813,0.0003848100000000007,4.798625850677491,0.21499061584472656,0.0,0.0035996118202207272
bn_n20_w2_concentrated_bias_high.bif,20,2,concentrated_bias_high,0.5,0.6,X18,1,0.625014694793434,0.012234687805175781,0.18770217895507812,0.0,0.6268,0.00030956000000000055,1.0239843130111694,0.08333396911621094,0.0,0.0017853052065660568,0.6255,0.0002592500000000005,4.314860105514526,0.1895771026611328,0.0,0.000485305206565978
bn_n20_w2_concentrated_bias_high.bif,20,2,concentrated_bias_high,0.5,0.8,X18,1,0.8350853652736876,0.011074304580688477,0.17116260528564453,0.0,0.8343,0.00018821000000000034,0.9742263793945313,0.08483028411865234,0.0,0.0007853652736875549,0.8382,0.00010776000000000022,4.097982335090637,0.18838787078857422,0.0,0.0031146347263123486
bn_n20_w2_concentrated_bias_low.bif,20,2,concentrated_bias_low,0.25,0.6,X8,1,0.5741587131643573,0.011646747589111328,0.21094131469726562,0.0,0.5704999999999999,0.0002696499999999992,1.0062466144561768,0.07961082458496094,0.0,0.0036587131643573967,0.5722,0.00020695999999999952,4.07683265209198,0.17951393127441406,0.0,0.001958713164357251
bn_n20_w2_concentrated_bias_low.bif,20,2,concentrated_bias_low,0.25,0.8,X8,1,0.7671327974306117,0.0138397216796875,0.22031784057617188,0.0,0.7649000000000001,0.00012709000000000022,1.0907277584075927,0.08848381042480469,0.0,0.002232797430611555,0.7703,0.00015801000000000026,4.55787422657013,0.20371437072753906,0.0,0.0031672025693882944
bn_n20_w2_concentrated_bias_low.bif,20,2,concentrated_bias_low,0.5,0.6,X8,1,0.5693163781042391,0.010318756103515625,0.16329574584960938,0.0,0.5757000000000001,0.0002650099999999996,0.9871912479400635,0.08328056335449219,0.0,0.006383621895761027,0.5651999999999999,9.915999999999933e-05,4.125607061386108,0.1834430694580078,0.0,0.004116378104239149
bn_n20_w2_concentrated_bias_low.bif,20,2,concentrated_bias_low,0.5,0.8,X8,1,0.8086053573592343,0.014568567276000977,0.21294879913330078,0.0,0.8089000000000001,0.00033148999999999906,1.0918546199798584,0.0894308090209961,0.0,0.0002946426407657299,0.8141999999999999,8.35599999999992e-05,4.457261371612549,0.19700908660888672,0.0,0.00559464264076559
bn_n20_w2_rigid_extreme.bif,20,2,rigid_extreme,0.25,0.6,X3,1,0.5717706993000239,0.012638568878173828,0.2430267333984375,0.0,0.5673999999999999,0.0002064399999999992,1.1442883968353272,0.0897817611694336,0.0,0.0043706993000239835,0.5746,0.00022263999999999937,4.831903553009033,0.20237255096435547,0.0,0.0028293006999761117
bn_n20_w2_rigid_extreme.bif,20,2,rigid_extreme,0.25,0.8,X3,1,0.7610304563152221,0.009522199630737305,0.19588947296142578,0.0,0.7645,0.00015745000000000028,0.7222263097763062,0.06963253021240234,0.0,0.0034695436847778094,0.761,0.0002476000000000004,3.02219877243042,0.13215160369873047,0.0,3.0456315222138208e-05
bn_n20_w2_rigid_extreme.bif,20,2,rigid_extreme,0.5,0.6,X3,1,0.5966801083654286,0.011058807373046875,0.17107868194580078,0.0,0.6028,0.0002649600000000005,0.8373593091964722,0.07941341400146484,0.0,0.006119891634571384,0.5946999999999999,0.0001272100000000002,3.564268445968628,0.16031169891357422,0.0,0.0019801083654287233
bn_n20_w2_rigid_extreme.bif,20,2,rigid_extreme,0.5,0.8,X3,1,0.8079570467672437,0.008874654769897461,0.13569068908691406,0.0,0.8196999999999999,0.0006102099999999993,0.7750219345092774,0.07384395599365234,0.0,0.011742953232756204,0.8041,0.00019908999999999937,3.253464198112488,0.14853191375732422,0.0,0.0038570467672436326
bn_n20_w2_rigid_moderate.bif,20,2,rigid_moderate,0.25,0.6,X4,1,0.6378687054033138,0.01057291030883789,0.18352222442626953,0.0,0.64,0.00015940000000000027,0.6655206680297852,0.0675344467163086,0.0,0.0021312945966862618,0.6426000000000001,0.0001694400000000003,2.8469191789627075,0.1029672622680664,0.0,0.0047312945966863085
bn_n20_w2_rigid_moderate.bif,20,2,rigid_moderate,0.25,0.8,X4,1,0.7874746854047505,0.010938644409179688,0.19760608673095703,0.0,0.7849000000000002,0.0001788899999999997,1.0831193208694458,0.08714962005615234,0.0,0.0025746854047503653,0.7891,0.0002214899999999998,4.509768795967102,0.18818187713623047,0.0,0.0016253145952495052
bn_n20_w2_rigid_moderate.bif,20,2,rigid_moderate,0.5,0.6,X4,1,0.5974692794968655,0.0096588134765625,0.14924335479736328,0.0,0.6002,0.0005779600000000001,0.945008111000061,0.0812520980834961,0.0,0.0027307205031344983,0.6030999999999999,0.00019809000000000032,3.9495476722717284,0.17437267303466797,0.0,0.005630720503134401
bn_n20_w2_rigid_moderate.bif,20,2,rigid_moderate,0.5,0.8,X4,1,0.7872270399402287,0.01380014419555664,0.19693470001220703,0.0,0.7882,3.596000000000006e-05,0.996111273765564,0.08397579193115234,0.0,0.0009729600597713217,0.7866000000000001,0.00010644000000000021,4.131299662590027,0.18189525604248047,0.0,0.0006270399402286131
bn_n20_w2_spread_bias_high.bif,20,2,spread_bias_high,0.25,0.6,X16,1,0.5695022089603963,0.011276721954345703,0.20357227325439453,0.0,0.5624999999999999,0.00012984999999999912,1.1376803874969483,0.09004878997802734,0.0,0.007002208960396383,0.5691999999999999,0.00013775999999999928,4.773066091537475,0.21749401092529297,0.0,0.00030220896039634404
bn_n20_w2_spread_bias_high.bif,20,2,spread_bias_high,0.25,0.8,X16,1,0.7732826387334506,0.010424613952636719,0.18423175811767578,0.0,0.7746000000000001,0.00028264000000000056,0.7919810056686402,0.07527923583984375,0.0,0.001317361266549466,0.7611000000000001,0.00014629000000000025,3.3235445499420164,0.14527416229248047,0.0,0.01218263873345049
bn_n20_w2_spread_bias_high.bif,20,2,spread_bias_high,0.5,0.6,X16,1,0.5984617387802427,0.009809255599975586,0.17518329620361328,0.0,0.5984999999999999,7.025000000000014e-05,0.9264964103698731,0.08174800872802734,0.0,3.826121975725183e-05,0.6062,0.00013176000000000022,3.906702733039856,0.17227458953857422,0.0,0.007738261219757292
bn_n20_w2_spread_bias_high.bif,20,2,spread_bias_high,0.5,0.8,X16,1,0.7824374319114425,0.012227535247802734,0.19808673858642578,0.0,0.7772,0.0003545600000000006,1.0285347938537597,0.08563899993896484,0.0,0.005237431911442547,0.7845000000000001,5.8450000000000106e-05,4.340104675292968,0.19841289520263672,0.0,0.002062568088557537
bn_n20_w2_spread_bias_low.bif,20,2,spread_bias_low,0.25,0.6,X13,1,0.6460522571488277,0.012785911560058594,0.22787189483642578,0.0,0.6418000000000001,0.0002179600000000004,1.0661265134811402,0.0844106674194336,0.0,0.004252257148827598,0.6519,9.889000000000017e-05,4.246565461158752,0.18270397186279297,0.0,0.005847742851172288
bn_n20_w2_spread_bias_low.bif,20,2,spread_bias_low,0.25,0.8,X13,1,0.7710730901839526,0.012172698974609375,0.20032215118408203,0.0,0.7762,0.0002141600000000004,0.852953839302063,0.0745840072631836,0.0,0.005126909816047354,0.7682,0.00010416000000000017,3.4590585231781006,0.15886974334716797,0.0,0.0028730901839526535
bn_n20_w2_spread_bias_low.bif,20,2,spread_bias_low,0.5,0.6,X13,1,0.5561276073000666,0.014815568923950195,0.2150115966796875,0.0,0.5631999999999999,0.0001563599999999992,1.2091513395309448,0.09220027923583984,0.0,0.007072392699933316,0.5591999999999999,0.00012055999999999902,4.919801568984985,0.19746685028076172,0.0,0.003072392699933313
bn_n20_w2_spread_bias_low.bif,20,2,spread_bias_low,0.5,0.8,X13,1,0.8269916448921693,0.010318517684936523,0.16360950469970703,0.0,0.8213000000000001,0.00020380999999999923,0.869646143913269,0.07961177825927734,0.0,0.005691644892169112,0.8230999999999999,8.468999999999964e-05,3.5843685626983643,0.16263103485107422,0.0,0.0038916448921693103
