node,n_children,n_parents,is_leaf,marginalize_ok,skip_reason,max_new_cols,exact_sdp,rhat,delta_final,chain_mean,error,bimodal_flag,wrong_flag,any_failure,delta_vs_base,error_vs_base,n_hidden_after
__baseline__,-1,-1,False,True,,0,0.9607151749436171,1.6001456498143671,0.78,0.5443,0.41641517494361713,True,False,True,0.0,0.0,37
NtwrkCnfg,6,0,False,True,,16,0.9174191066719022,1.4641121811894235,0.8563999999999999,0.41843333333333327,0.4989857733385689,True,False,True,0.07639999999999991,0.08257059839495179,36
CblPrtHrdwrOK,4,0,False,True,,8,0.9607133621937048,1.3241207657046976,0.6849999999999999,0.3105833333333333,0.6501300288603715,True,False,True,-0.09500000000000008,0.2337148539167544,36
NetPrint,3,0,False,True,,64,0.9607151208851383,1.412055450559011,0.8200000000000001,0.6295999999999999,0.3311151208851384,True,False,True,0.040000000000000036,-0.08530005405847874,36
PTROFFLINE,3,0,False,True,,16,0.9616515536743303,1.2098677013608898,0.6227333333333332,0.43,0.5316515536743303,True,False,True,-0.15726666666666678,0.11523637873071313,36
PrtDriver,3,0,False,True,,8,0.9668168537381571,1.532400769644408,0.8198666666666667,0.38816666666666666,0.5786501870714904,True,False,True,0.03986666666666672,0.16223501212787328,36
CmpltPgPrntd,2,3,False,True,,32,0.9607151735137417,1.5523993651292465,0.8188666666666666,0.4613833333333333,0.4993318401804084,True,False,True,0.038866666666666605,0.08291666523679125,36
DeskPrntSpd,2,3,False,True,,32,0.9609626231318295,1.0230376933847958,0.12846666666666673,0.9323666666666668,0.028595956465162664,True,False,True,-0.6515333333333333,-0.38781921847845446,36
EPSGrphc,2,0,False,True,,4,0.9607754521618815,1.0113101510969975,0.09726666666666668,0.1325,0.8282754521618816,False,True,True,-0.6827333333333333,0.41186027721826446,36
GrphcsRltdDrvrSttngs,2,0,False,True,,4,0.960805910485396,1.8222885216471902,0.8996,0.3371,0.6237059104853959,True,False,True,0.11959999999999993,0.2072907355417788,36
PrtCbl,2,0,False,True,,8,0.9607152128381856,1.0427219662904041,0.17613333333333334,0.13188333333333332,0.8288318795048523,True,False,True,-0.6038666666666667,0.41241670456123514,36
PC2PRT,1,7,False,True,,8192,0.9607151736034392,2.2589782653137433,0.9556666666666667,0.5167833333333333,0.4439318402701059,True,False,True,0.17566666666666664,0.027516665326488776,36
DS_NTOK,1,5,False,True,,2048,0.9607152358084645,1.5596910629240057,0.854,0.37805,0.5826652358084645,True,False,True,0.07399999999999995,0.1662500608648474,36
DS_LCLOK,1,4,False,True,,1024,0.9607152217768853,1.0060556596433339,0.07726666666666666,0.11266666666666666,0.8480485551102186,False,True,True,-0.7027333333333333,0.43163338016660147,36
LclGrbld,1,4,False,True,,64,0.9604767909488281,1.0142766513435824,0.1363333333333333,0.14328333333333332,0.8171934576154948,True,False,True,-0.6436666666666667,0.40077828267187765,36
NtGrbld,1,4,False,True,,64,0.9598532992372336,1.004103194906518,0.07826666666666665,0.14041666666666666,0.819436632570567,False,True,True,-0.7017333333333333,0.40302145762694985,36
EMFOK,1,3,False,True,,16,0.9607151735073681,1.531826903865767,0.8381333333333334,0.33345,0.6272651735073681,True,False,True,0.05813333333333337,0.21084999856375097,36
LclOK,1,3,False,True,,512,0.9607152234692848,1.0315353715858495,0.17813333333333334,0.11111666666666667,0.8495985568026182,True,False,True,-0.6018666666666667,0.43318338185900107,36
NnPSGrphc,1,3,False,True,,32,0.9599456890164911,1.0090331646951536,0.095,0.11596666666666666,0.8439790223498245,False,True,True,-0.685,0.42756384740620734,36
PSGRAPHIC,1,3,False,True,,32,0.9607151735240584,1.1517356106594,0.4724666666666666,0.32398333333333335,0.6367318401907252,True,False,True,-0.30753333333333344,0.22031666524710802,36
GrbldPS,1,2,False,True,,8,0.9607151735073681,1.7673432944409713,0.955,0.35385,0.6068651735073681,True,False,True,0.17499999999999993,0.190449998563751,36
AppOK,1,0,False,True,,2,0.9607151735073681,1.8622509263841258,0.8674666666666667,0.555,0.4057151735073681,True,False,True,0.08746666666666669,-0.010700001436249051,36
DSApplctn,1,0,False,True,,64,0.960715218238417,1.0153396465038464,0.1238,0.1092,0.851515218238417,True,False,True,-0.6562,0.4351000432947999,36
DataFile,1,0,False,True,,2,0.9607151735073681,1.0169422629511744,0.1022,0.06733333333333333,0.8933818401740348,True,False,True,-0.6778000000000001,0.47696666523041764,36
DrvOK,1,0,False,True,,8,0.9607152549722273,1.8535967873378627,0.8274666666666667,0.5599666666666667,0.4007485883055606,True,False,True,0.04746666666666666,-0.015666586638056534,36
FllCrrptdBffr,1,0,False,True,,64,0.9607152619642272,1.613089561583727,0.8815333333333333,0.37666666666666665,0.5840485952975605,True,False,True,0.10153333333333325,0.16763342035394335,36
PrntngArOK,1,0,False,True,,4,0.9613733500659662,1.00965173280953,0.10986666666666668,0.14901666666666666,0.8123566833992996,True,False,True,-0.6701333333333334,0.39594150845568243,36
PrtMpTPth,1,0,False,True,,16,0.9607152534177017,1.0208115690246007,0.11866666666666666,0.08253333333333333,0.8781819200843684,True,False,True,-0.6613333333333333,0.4617667451407512,36
PrtQueue,1,0,False,True,,4,0.960715248699692,1.0135717263455022,0.14966666666666667,0.18423333333333333,0.7764819153663587,True,False,True,-0.6303333333333334,0.36006674042274156,36
PrtThread,1,0,False,True,,4,0.9607151735073681,2.729913193151884,0.9712000000000001,0.5377833333333334,0.42293184017403473,True,False,True,0.19120000000000004,0.0065166652304176065,36
ScrnFntNtPrntrFnt,1,0,False,True,,4,0.9633457898049245,1.7043001670748243,0.8100666666666666,0.54515,0.41819578980492444,True,False,True,0.030066666666666575,0.001780614861307317,36
Problem2,0,3,True,True,,0,0.9607151736034393,1.5264706428033954,0.8234666666666667,0.6086,0.35211517360343925,True,False,True,0.04346666666666665,-0.06430000134017788,36
Problem3,0,3,True,True,,0,0.9607151735087731,1.0220893380640512,0.17813333333333334,0.2033,0.7574151735087731,True,False,True,-0.6018666666666667,0.34099999856515595,36
REPEAT,0,2,True,True,,0,0.960715263337312,1.376473589020208,0.7724666666666666,0.4183,0.542415263337312,True,False,True,-0.007533333333333392,0.12600008839369492,36
PrtFile,0,1,True,True,,0,0.9607151735073681,1.91440320813015,0.9159333333333333,0.32845,0.6322651735073681,True,False,True,0.13593333333333324,0.21584999856375098,36
PrtStatMem,0,1,True,True,,0,0.9594454562520466,1.0198105485871327,0.09273333333333333,0.9435499999999999,0.01589545625204669,False,False,False,-0.6872666666666667,-0.40051971869157044,36
PrtStatOff,0,1,True,True,,0,0.9607151735073681,2.1509515704551068,0.9205333333333333,0.5680166666666666,0.3926985068407015,True,False,True,0.1405333333333333,-0.023716668102915617,36
PrtStatPaper,0,1,True,True,,0,0.9607151735073681,1.0113628925256621,0.11253333333333335,0.1192,0.8415151735073682,True,False,True,-0.6674666666666667,0.425099998563751,36
