Node,Entropy_Nats,Parent_Count
HISTORY,0.06945560630667738,1
CVP,0.3138659742223976,1
PCWP,0.22353536452278197,1
HYPOVOLEMIA,0.5004024235381879,0
LVEDVOLUME,0.3743960228597343,2
LVFAILURE,0.1985152433458726,0
STROKEVOLUME,0.4508143607178412,2
ERRLOWOUTPUT,0.1985152433458726,0
HRBP,0.12840301636917462,2
HREKG,0.14260477725685433,2
ERRCAUTER,0.3250829733914482,0
HRSAT,0.14260477725685433,2
INSUFFANESTH,0.3250829733914482,0
ANAPHYLAXIS,0.056001534354847345,0
TPR,1.0791299961606808,1
EXPCO2,0.1677005368398101,2
KINKEDTUBE,0.167944147734173,0
MINVOL,0.18918862797138092,2
FIO2,0.1985152433458726,0
PVSAT,0.08443075933551111,2
SAO2,0.11811352573483962,2
PAP,0.3958547692550419,1
PULMEMBOLUS,0.056001534354847345,0
SHUNT,0.1996463799268101,2
INTUBATION,0.33169443082122596,0
PRESS,0.8447943510477111,3
DISCONNECT,0.3250829733914482,0
MINVOLSET,0.39439769144744274,0
VENTMACH,0.3093807617338583,1
VENTTUBE,0.16770053683981004,2
VENTLUNG,0.34421178992472207,3
VENTALV,0.17032802164437905,2
ARTCO2,0.16747883599810842,1
CATECHOL,0.1557639100861212,4
HR,0.36127685532723486,1
CO,0.2695069322709339,2
BP,0.4905387079536578,2
