Node,Entropy_Nats,Parent_Count
GOAL_2,0.098039113279732,0
SNode_3,0.098039113279732,0
SNode_4,0.098039113279732,0
SNode_5,0.098039113279732,0
SNode_6,0.098039113279732,0
SNode_7,0.098039113279732,0
DISPLACEM0,0.6931471805599453,0
RApp1,0.0005003042281451568,2
GIVEN_1,0.098039113279732,0
RApp2,0.0010006084562903135,1
SNode_8,0.00512960763052546,2
SNode_9,0.098039113279732,0
SNode_10,0.098039113279732,0
SNode_11,0.098039113279732,0
SNode_12,0.098039113279732,0
SNode_13,0.098039113279732,0
SNode_14,0.098039113279732,0
SNode_15,0.098039113279732,0
SNode_16,0.098039113279732,0
SNode_17,0.098039113279732,0
SNode_18,0.098039113279732,0
SNode_19,0.098039113279732,0
NEED1,0.6931471805599453,0
SNode_20,0.255614227006227,2
GRAV2,0.6931471805599453,0
SNode_21,0.35254016165082375,2
VALUE3,0.6931471805599453,0
SNode_24,0.2542939956425462,2
SLIDING4,0.3250829733914482,0
SNode_25,0.03917864762444414,2
CONSTANT5,0.6931471805599453,0
SNode_26,0.255614227006227,2
KNOWN6,0.6931471805599453,0
VELOCITY7,0.6931471805599453,0
SNode_47,0.255614227006227,2
RApp3,0.00017889326659323643,3
KNOWN8,0.6931471805599453,0
RApp4,0.0005003042281451568,2
SNode_27,0.2110961441198501,2
COMPO16,0.6931471805599453,0
GOAL_48,0.255614227006227,2
TRY12,0.6108643020548935,0
TRY11,0.35028169647673146,1
GOAL_49,0.3754363371795583,4
CHOOSE19,0.6931471805599453,0
GOAL_50,0.4004642128357494,2
SYSTEM18,0.6931471805599453,0
SNode_51,0.26789837751255857,3
KINEMATI17,0.6931471805599453,0
SNode_52,0.43576972681873216,2
IDENTIFY10,0.6931471805599453,0
GOAL_53,0.46584301291095787,3
IDENTIFY9,0.6931471805599453,0
SNode_28,0.4581475975461948,3
TRY13,0.35028169647673146,1
TRY14,0.22755808137401373,1
TRY15,0.22755808137401373,1
VAR20,0.6108643020548935,0
SNode_29,0.40680260252950995,2
SNode_31,0.2683762970016678,2
GIVEN21,0.3250829733914482,0
SNode_33,0.03917864762444414,2
SNode_34,0.255614227006227,2
VECTOR27,0.6931471805599453,0
APPLY32,0.6931471805599453,0
GOAL_56,0.46584301291095787,3
CHOOSE35,0.6931471805599453,0
GOAL_57,0.43662326686128006,2
MAXIMIZE34,0.6931471805599453,0
SNode_59,0.42644585495738957,3
AXIS33,0.5004024235381879,0
SNode_60,0.37314411318296054,2
WRITE31,0.6931471805599453,0
GOAL_61,0.46988568754747184,3
WRITE30,0.6931471805599453,0
GOAL_62,0.4382401750089001,2
RESOLVE37,0.6931471805599453,0
GOAL_63,0.48027974822526254,3
NEED36,0.6931471805599453,0
SNode_64,0.4423973835175893,2
SNode_41,0.255614227006227,2
SNode_42,0.35375274632454495,3
IDENTIFY39,0.6931471805599453,0
SNode_43,0.47267003303566646,3
RESOLVE38,0.6931471805599453,0
GOAL_66,0.4820527738366287,3
SNode_67,0.44310652284111124,2
IDENTIFY41,0.6931471805599453,0
SNode_54,0.43662326686128006,2
RESOLVE40,0.6931471805599453,0
GOAL_69,0.47765187016723726,3
SNode_70,0.4413463374095014,2
IDENTIFY43,0.6730116670092565,0
SNode_55,0.47019861505035754,3
RESOLVE42,0.6931471805599453,0
GOAL_72,0.48175104156950865,3
SNode_73,0.4429858420035539,2
KINE29,0.6931471805599453,0
SNode_74,0.3240489982094464,6
VECTOR44,0.6931471805599453,0
SNode_75,0.3031779635506854,4
EQUATION28,0.6730116670092565,0
GOAL_79,0.4969602821571483,3
RApp5,0.00010491667609802819,2
GOAL_80,0.46826779721393047,2
RApp6,0.00012839661642696093,2
GOAL_81,0.3930502798925241,2
TRY25,0.3250829733914482,0
TRY24,0.01985152433458726,1
GOAL_83,0.33238735169366884,2
CHOOSE47,0.6931471805599453,0
GOAL_84,0.38324634060081303,2
SYSTEM46,0.6931471805599453,0
SNode_86,0.2622629269799257,2
NEWTONS45,0.6931471805599453,0
SNode_156,0.43186185801011234,2
DEFINE23,0.6931471805599453,0
GOAL_98,0.4596359491002769,3
IDENTIFY22,0.6931471805599453,0
SNode_37,0.43414068961956004,2
TRY26,0.03250829733914482,1
SNode_38,0.3933600784774383,2
SNode_40,0.26488766523975105,2
SNode_44,0.4149343531472267,2
SNode_46,0.2704866658115031,2
NULL48,0.6931471805599453,0
SNode_65,0.31589760109999204,4
SNode_68,0.3027779031120735,3
SNode_71,0.3020926698008047,3
FIND49,0.6931471805599453,0
GOAL_87,0.5610760009569716,3
NORMAL50,0.6931471805599453,0
SNode_88,0.27335396832545633,3
STRAT_90,0.6931471805599453,0
NORMAL52,0.64988769228922,0
INCLINE51,0.0,1
SNode_91,0.47971469598742017,5
HORIZ53,0.3232599656056694,1
BUGGY54,0.3232599656056694,1
SNode_92,0.37389588357047043,3
IDENTIFY55,0.6931471805599453,0
SNode_93,0.4556110602596185,3
WEIGHT56,0.6108643020548935,0
SNode_94,0.25411073441245424,4
WEIGHT57,0.6108643020548935,0
SNode_95,0.3965313082819725,2
SNode_97,0.4422669570419365,3
FIND58,0.6108643020548935,0
GOAL_99,0.4606453831870112,2
IDENTIFY59,0.6931471805599453,0
SNode_100,0.43414068961956004,2
FORCE60,0.5004024235381879,0
SNode_102,0.29477627862056144,4
APPLY61,0.6931471805599453,0
GOAL_103,0.4770449232297964,3
CHOOSE62,0.6931471805599453,0
GOAL_104,0.4411035829124027,2
SNode_106,0.4267283459740993,2
SNode_152,0.373324826209848,2
WRITE63,0.6931471805599453,0
GOAL_107,0.4718471780420231,3
WRITE64,0.6931471805599453,0
GOAL_108,0.43902469274710076,2
GOAL_109,0.43902469274710076,2
GOAL65,0.6931471805599453,0
GOAL_110,0.42589701152854376,2
GOAL66,0.6730116670092565,0
GOAL_111,0.44079809393047253,2
NEED67,0.6931471805599453,0
RApp7,0.0001522760213777507,2
RApp8,0.00015083000420159571,2
SNode_112,0.37126632569891876,2
GOAL68,0.6931471805599453,0
GOAL_113,0.4206464641483696,2
GOAL_114,0.4206464641483696,2
SNode_115,0.41854556323240555,2
VECTOR69,0.6108643020548935,0
SNode_116,0.3223237110885494,5
SNode_117,0.41854556323240555,2
VECTOR70,0.3250829733914482,0
SNode_118,0.4660425204215738,3
EQUAL71,0.6730116670092565,0
SNode_119,0.3196317831984584,4
SNode_120,0.32298923280231684,5
GOAL72,0.6931471805599453,0
GOAL_121,0.42589701152854376,2
SNode_122,0.4206442339608767,2
VECTOR73,0.6931471805599453,0
SNode_123,0.3157596000493118,5
NEWTONS74,0.6931471805599453,0
SNode_124,0.3201212125278471,5
SUM75,0.6931471805599453,0
SNode_125,0.2910504301991421,3
GOAL_126,0.42589701152854376,2
GOAL_127,0.44079809393047253,2
RApp9,0.0001522760213777507,2
RApp10,0.00015083000420159571,2
SNode_128,0.37126632569891876,2
GOAL_129,0.4206464641483696,2
GOAL_130,0.4206464641483696,2
SNode_131,0.41854556323240555,2
SNode_132,0.3223237110885494,5
SNode_133,0.41854556323240555,2
SNode_134,0.32282553124039637,5
SNode_135,0.32298923280231684,5
SNode_154,0.4206442339608767,2
SNode_136,0.32102119092508813,5
SNode_137,0.2910504301991421,3
GOAL_142,0.49614466032555393,3
GOAL_143,0.49759807246635673,3
GOAL_146,0.49614466032555393,3
RApp11,0.00010558870023624973,2
RApp12,0.00010440917376744918,2
RApp13,0.00010558870023624973,2
GOAL_147,0.3661174364578609,3
TRY76,0.6931471805599453,0
GOAL_149,0.4843600908892067,2
APPLY77,0.6931471805599453,0
GOAL_150,0.4802223200332291,4
GRAV78,0.6931471805599453,0
SNode_151,0.2874303345798973,2
GOAL_153,0.42589701152854376,2
SNode_155,0.3192731503219353,5
