Node,Entropy_Nats,Parent_Count
jordtype,2.197224457613757,0
komm,1.6094379124341005,0
nedbarea,1.098612278806876,1
nmin,0.8194546457084106,2
aar_mod,2.397895258819416,2
forfrugt,1.6094379124341005,0
potnmin,1.4234037537795121,2
jordn,0.16317898023414176,3
pesticid,0.0010209469331271957,0
exptgens,0.8700378321872722,3
mod_nmin,0.005122307737636489,2
ngodnt,0.012768379924220846,3
nopt,0.7811014491222212,2
ngodnn,0.43360113946564705,2
ngodn,0.009181441201913106,2
nprot,0.01493931672014508,2
saatid,1.6094379124341005,0
rokap,1.134744898436265,1
dgv1059,1.1211123015997084,2
sort,4.204691946405495,0
srtprot,0.8822156840950155,1
nplac,1.098612278806876,0
dg25,1.4869662581137923,1
ngtilg,0.5695600008107929,3
ntilg,0.48793620250118763,2
saamng,2.302585092994046,0
tkvs,2.197224457613757,0
saakern,0.006122708572619373,2
partigerm,2.197224457613757,0
frspdag,1.374795387290381,1
jordinf,1.432173666045297,1
markgrm,0.10616610955825843,2
antplnt,0.020476907592630267,2
sorttkv,0.8770266048655617,1
aks_m2,1.5236151649954495,4
keraks,1.415625865190682,3
dgv5980,1.791759627579929,1
aks_vgt,1.5229654930121732,3
srtsize,0.8704621580997981,1
ksort,0.38977885907471815,3
protein,1.7275864730989086,4
udb,0.1078394817202204,2
spndx,0.0030622281899573096,3
tkv,1.2925393770536806,4
slt22,0.0035269381147782423,3
s2225,0.004134832154047711,3
s2528,0.025656378256843304,3
bgbyg,1.0575503703686773,2
