Node,Entropy_Nats,Parent_Count
BirthAsphyxia,0.3250829733914482,0
HypDistrib,0.22752805048258803,2
HypoxiaInO2,0.7275900816495326,2
CO2,0.6947806733599693,1
ChestXray,0.7738280758990338,2
Grunting,0.3716437508521814,2
LVHreport,0.23375596157785528,1
LowerBodyO2,0.9102542405365955,2
RUQO2,0.9149155798488428,1
CO2Report,0.32508297339144826,1
XrayReport,0.8101612160953477,1
Disease,1.4910274943564386,1
GruntingReport,0.36428417087979614,1
Age,0.752873006348638,2
LVH,0.3186383510094952,1
DuctFlow,0.49740908489230057,1
CardiacMixing,0.5815999582679596,1
LungParench,0.6447811947131337,1
LungFlow,0.6488912128437723,1
Sick,0.5816389963032572,1
