Node,Entropy_Nats,Parent_Count
alcoholism,0.3974659456871894,0
vh_amn,0.46077464743244273,0
hepatotoxic,0.28252682142490054,0
THepatitis,0.1580113622626188,2
hospital,0.6906881452598903,0
surgery,0.6813848902929287,0
gallstones,0.4280074801916558,0
choledocholithotomy,0.22664320831802626,1
injections,0.5030968002613458,3
transfusion,0.3831184928092969,3
ChHepatitis,0.5425034477238434,3
sex,0.6738154201794504,0
age,1.2045356762921262,0
PBC,0.4665420871321629,2
fibrosis,0.09553952152156826,1
diabetes,0.15424446421649932,0
obesity,0.24465503859361293,1
Steatosis,0.2946728406041773,2
Cirrhosis,0.14890626799456985,2
Hyperbilirubinemia,0.20119777097003147,2
triglycerides,0.31216446025040406,1
RHepatitis,0.11431354888469243,1
fatigue,0.6846444056059461,3
bilirubin,0.7636053198661634,5
itching,0.6431972327180043,1
upper_pain,0.6688357780181404,1
fat,0.5741022868740746,1
pain_ruq,0.6764049985572325,2
pressure_ruq,0.6512163504561018,3
phosphatase,0.9592400667372679,4
skin,0.48772958211360246,1
ama,0.3030066579180116,1
le_cells,0.24673070031829736,1
joints,0.3479494917394992,1
pain,0.4668460815711454,2
proteins,0.09045449594084859,1
edema,0.39881951161135965,1
platelet,0.9012899036122459,2
inr,0.4564967034643894,4
bleeding,0.42300817760398424,2
flatulence,0.6814322744221257,1
alcohol,0.3625837565161487,1
encephalopathy,0.1318734437342484,2
urea,0.40667517483434895,1
ascites,0.3881755177651698,1
hepatomegaly,0.6149389689721927,4
hepatalgia,0.46611163150910645,1
density,0.659942213227581,1
ESR,0.6813143830558818,4
alt,1.1601380557572014,5
ast,1.0850359690074245,5
amylase,0.16335292790398148,1
ggtp,1.032013932240476,6
cholesterol,0.5899048170747991,3
hbsag,0.2635830927522884,2
hbsag_anti,0.08622993929643968,3
anorexia,0.5858318517433339,2
nausea,0.6016637087093114,2
spleen,0.35356679348530573,3
consciousness,0.09958650370045999,1
spiders,0.49241300235762486,1
jaundice,0.5464484244018368,1
albumin,0.7152164861400586,1
edge,0.548401915885984,1
irregular_liver,0.3645176726702275,1
hbc_anti,0.30459090387613325,2
hcv_anti,0.015178910889860973,2
palms,0.4268051598582307,1
hbeag,0.019985385175067386,2
carcinoma,0.1936369982663586,2
