Node,Entropy_Nats,Parent_Count
GoodStudent,0.09372444794966733,2
Age,0.9502705392332347,0
SocioEcon,1.0903978608976834,1
RiskAversion,1.0250886690503012,2
VehicleYear,0.5057843042952118,2
ThisCarDam,0.12238703291315345,2
RuggedAuto,0.6082301783202864,2
Accident,0.5888751158337209,3
MakeModel,0.9193754737043194,2
DrivQuality,0.2354520502209748,2
Mileage,1.1935496040981333,0
Antilock,0.1530239791308444,2
DrivingSkill,0.8932627339195072,2
SeniorTrain,0.08145631147217335,2
ThisCarCost,0.052359658714644444,3
Theft,0.007974986865190136,3
CarValue,0.5504683663204142,3
HomeBase,0.6984165729518435,2
AntiTheft,0.2655497119613318,2
PropCost,0.5686675873016824,2
OtherCarCost,0.20110855271179695,2
OtherCar,0.5415192651545876,1
MedCost,0.17568389103737378,3
Cushioning,0.729343593226774,2
Airbag,0.22385371369184065,2
ILiCost,0.11650163606737524,1
DrivHist,0.47097894793147177,2
