Node,Entropy_Nats,Parent_Count
D0_56_d_p,0.0,1
N56_d_g,0.0,2
N56_d_m,0.0,3
N56_d_f,0.0,3
Z_56_d_m,0.6341786357122057,1
N55_d_m,0.0,3
N55_d_f,0.0,3
Z_56_d_f,0.6341786357122057,1
N54_d_m,0.0,3
N54_d_f,0.0,3
D0_56_a_m,0.0,3
Z_56_a_m,0.6931471805599453,0
N55_a_m,0.0,3
N55_a_f,0.0,3
D1_56_a_m,1.3862943611198906,0
D0_56_a_f,0.0,3
Z_56_a_f,0.6931471805599453,0
N54_a_m,0.0,3
N54_a_f,0.0,3
D1_56_a_f,1.3862943611198906,0
D0_57_d_p,0.0,1
N57_d_g,0.0,2
N57_d_m,0.0,3
N57_d_f,0.0,3
Z_57_d_m,0.6341786357122057,1
Z_57_d_f,0.6341786357122057,1
D0_57_a_x,0.0,2
N57_a_m,0.0,3
N57_a_f,0.0,3
Z_57_a_m,0.6931471805599453,0
Z_57_a_f,0.6931471805599453,0
D0_58_d_p,0.0,1
N58_d_g,0.0,2
N58_d_m,0.0,3
N58_d_f,0.0,3
Z_58_d_m,0.6341786357122057,1
Z_58_d_f,0.6341786357122057,1
D0_58_a_x,0.0,2
N58_a_m,0.0,3
N58_a_f,0.0,3
Z_58_a_m,0.6931471805599453,0
Z_58_a_f,0.6931471805599453,0
D0_59_d_p,0.0,1
N59_d_g,0.0,2
N59_d_m,0.0,3
N59_d_f,0.0,3
Z_59_d_m,0.6341786357122057,1
Z_59_d_f,0.6341786357122057,1
D0_59_a_x,0.0,2
N59_a_m,0.0,3
N59_a_f,0.0,3
Z_59_a_m,0.6931471805599453,0
Z_59_a_f,0.6931471805599453,0
D0_54_d_p,0.0,1
N54_d_g,0.0,2
Z_54_d_m,0.6341786357122057,1
N23_d_m,0.0,3
N23_d_f,0.0,3
Z_54_d_f,0.6341786357122057,1
N25_d_m,0.0,3
N25_d_f,0.0,3
D0_54_a_x,0.0,2
Z_54_a_m,0.6931471805599453,0
N23_a_m,0.0,3
N23_a_f,0.0,3
Z_54_a_f,0.6931471805599453,0
N25_a_m,0.0,3
N25_a_f,0.0,3
D0_25_d_p,0.0,1
N25_d_g,0.0,2
Z_25_d_m,0.6341786357122057,1
N73_d_m,0.03147906594716675,0
N73_d_f,0.03147906594716675,0
Z_25_d_f,0.6341786357122057,1
N72_d_m,0.0,3
N72_d_f,0.0,3
D0_25_a_x,0.0,2
Z_25_a_m,0.6931471805599453,0
N73_a_m,1.3862943611198906,0
N73_a_f,1.3862943611198906,0
Z_25_a_f,0.6931471805599453,0
N72_a_m,0.0,3
N72_a_f,0.0,3
D0_73_d_p,0.0,1
N73_d_g,0.0,2
D0_72_d_p,0.0,1
N72_d_g,0.0,2
Z_72_d_m,0.6341786357122057,1
N3_d_m,0.0,3
N3_d_f,0.0,3
Z_72_d_f,0.6341786357122057,1
N5_d_m,0.03147906594716675,0
N5_d_f,0.03147906594716675,0
Z_72_a_m,0.6931471805599453,0
N3_a_m,0.0,3
N3_a_f,0.0,3
Z_72_a_f,0.6931471805599453,0
N5_a_m,1.3862943611198906,0
N5_a_f,1.3862943611198906,0
D0_55_d_p,0.0,1
N55_d_g,0.0,2
Z_55_d_m,0.6341786357122057,1
N26_d_m,0.0,3
N26_d_f,0.0,3
Z_55_d_f,0.6341786357122057,1
N24_d_m,0.0,3
N24_d_f,0.0,3
D0_55_a_x,0.0,2
Z_55_a_m,0.6931471805599453,0
N26_a_m,0.0,3
N26_a_f,0.0,3
Z_55_a_f,0.6931471805599453,0
N24_a_m,0.0,3
N24_a_f,0.0,3
D0_26_d_p,0.0,1
N26_d_g,0.0,2
Z_26_d_m,0.6341786357122057,1
N71_d_m,0.0,3
N71_d_f,0.0,3
Z_26_d_f,0.6341786357122057,1
N70_d_m,0.0,3
N70_d_f,0.0,3
D0_26_a_x,0.0,2
Z_26_a_m,0.6931471805599453,0
N71_a_m,0.0,3
N71_a_f,0.0,3
Z_26_a_f,0.6931471805599453,0
N70_a_m,0.0,3
N70_a_f,0.0,3
D0_71_d_p,0.0,1
N71_d_g,0.0,2
Z_71_d_m,0.6341786357122057,1
N67_d_m,0.0,3
N67_d_f,0.0,3
Z_71_d_f,0.6341786357122057,1
N66_d_m,0.03147906594716675,0
N66_d_f,0.03147906594716675,0
Z_71_a_m,0.6931471805599453,0
N67_a_m,0.0,3
N67_a_f,0.0,3
Z_71_a_f,0.6931471805599453,0
N66_a_m,1.3862943611198906,0
N66_a_f,1.3862943611198906,0
D0_70_d_p,0.0,1
