Node,Entropy_Nats,Parent_Count
AppOK,0.03147906594716675,0
DataFile,0.03147906594716675,0
AppData,0.0010281729519005475,2
DskLocal,0.13474216817976675,0
PrtSpool,0.1985152433458726,0
PrtOn,0.3250829733914482,0
PrtPaper,0.098039113279732,0
NetPrint,0.5004024235381879,0
PrtDriver,0.3250829733914482,0
PrtThread,0.0010210290370309323,0
EMFOK,0.0571729565298943,3
GDIIN,0.0,3
DrvSet,0.056001534354847345,0
DrvOK,0.056001534354847345,0
GDIOUT,0.1032765894117986,4
PrtSel,0.056001534354847345,0
PrtDataOut,0.04857514125744952,2
PrtPath,0.13474216817976675,0
NtwrkCnfg,0.098039113279732,0
PTROFFLINE,0.6108643020548935,0
NetOK,0.05224273080079195,3
PrtCbl,0.098039113279732,0
PrtPort,0.056001534354847345,0
CblPrtHrdwrOK,0.056001534354847345,0
LclOK,0.008482030608657154,3
DSApplctn,0.42270908780599087,0
PrtMpTPth,0.5004024235381879,0
DS_NTOK,0.09323137196425862,5
DS_LCLOK,0.006879673402765114,4
PC2PRT,0.0,7
PrtMem,0.1985152433458726,0
PrtTimeOut,0.22696752250060448,0
FllCrrptdBffr,0.42270908780599087,0
TnrSpply,0.03147906594716675,0
PrtData,0.12433734307114651,7
Problem1,0.0,1
AppDtGnTm,0.0028000744201821873,1
PrntPrcssTm,0.05320141398346156,1
DeskPrntSpd,0.03569398992590745,3
PgOrnttnOK,0.1985152433458726,0
PrntngArOK,0.098039113279732,0
ScrnFntNtPrntrFnt,0.1985152433458726,0
CmpltPgPrntd,0.08949075487016905,3
GrphcsRltdDrvrSttngs,0.1985152433458726,0
EPSGrphc,0.056001534354847345,0
NnPSGrphc,0.05118712953376569,3
PrtPScript,0.6730116670092565,0
PSGRAPHIC,0.05118712953376569,3
Problem4,0.0,3
TrTypFnts,0.3250829733914482,0
FntInstlltn,0.098039113279732,0
PrntrAccptsTrtyp,0.3250829733914482,0
TTOK,0.08845690464946802,3
NnTTOK,0.10584672534921949,3
Problem5,0.0,3
LclGrbld,0.09720409614132718,4
NtGrbld,0.10689794123175285,4
GrbldOtpt,0.0,3
HrglssDrtnAftrPrnt,0.05613607493982493,1
REPEAT,0.02065578598068637,2
AvlblVrtlMmry,0.039215645311892804,1
PSERRMEM,0.0015881219467669806,2
TstpsTxt,0.0031628744178536813,2
GrbldPS,0.0029239810015792445,2
IncmpltPS,0.004956663308933703,2
PrtFile,0.5004024235381879,1
PrtIcon,0.1923261058315649,2
Problem6,0.0,3
Problem3,0.0,3
PrtQueue,0.056001534354847345,0
NtSpd,0.02427366204372906,3
Problem2,0.0,3
PrtStatPaper,0.007907186044634203,1
PrtStatToner,0.007907186044634203,1
PrtStatMem,0.03253194791931189,1
PrtStatOff,0.056001488403643745,1
