Density_Cat,Rigidity,n,MCMC_mean_err,MCMC_std_err,MCMC_max_err,PT_mean_err,PT_std_err,PT_max_err,PT_winrate,Exact_mean_time,MCMC_mean_time,PT_mean_time
Sparse,uniform,28,0.0036,0.0037,0.0131,0.0029,0.0027,0.01,0.4643,0.0401,0.9935,4.0869
Sparse,spread_bias_low,25,0.0034,0.0028,0.0087,0.0033,0.0038,0.0133,0.52,0.0387,1.0222,4.2282
Sparse,spread_bias_high,28,0.0031,0.0026,0.0094,0.0029,0.0029,0.011,0.3929,0.0405,1.0079,4.1022
Sparse,concentrated_bias_low,20,0.0035,0.0036,0.0125,0.0029,0.0027,0.0092,0.4,0.0292,0.9828,4.0883
Sparse,concentrated_bias_high,26,0.0025,0.0021,0.0068,0.003,0.003,0.01,0.3846,0.0399,0.993,4.1257
Sparse,uncertain_moderate,26,0.0034,0.0028,0.0087,0.0022,0.0023,0.0108,0.5769,0.0411,1.0273,4.2303
Sparse,uncertain_strong,25,0.0026,0.0023,0.0069,0.0027,0.0025,0.0073,0.32,0.0427,1.0184,4.161
Sparse,rigid_moderate,28,0.0026,0.0024,0.0088,0.0038,0.0044,0.0225,0.3214,0.0409,0.9732,4.0038
Sparse,rigid_extreme,27,0.0109,0.0228,0.1089,0.0073,0.0119,0.0446,0.4074,0.0381,0.9871,4.1471
Dense,uniform,21,0.0046,0.0035,0.0126,0.0043,0.0049,0.02,0.5238,0.0472,1.5527,6.5614
Dense,spread_bias_low,13,0.0018,0.0016,0.0047,0.0032,0.0031,0.0114,0.3846,0.0269,1.4717,6.2421
Dense,spread_bias_high,19,0.0026,0.0025,0.0092,0.0027,0.003,0.011,0.4737,0.0486,1.5445,6.5658
Dense,concentrated_bias_low,14,0.0027,0.0028,0.0072,0.0036,0.0044,0.0164,0.2143,0.0332,1.4398,6.1445
Dense,concentrated_bias_high,17,0.0031,0.0028,0.0075,0.0029,0.0027,0.0077,0.5294,0.0325,1.5361,6.555
Dense,uncertain_moderate,15,0.0019,0.0019,0.0067,0.0034,0.0034,0.011,0.2667,0.0283,1.6024,6.8253
Dense,uncertain_strong,18,0.0023,0.0024,0.008,0.0026,0.0028,0.0108,0.3333,0.0407,1.5565,6.5436
Dense,rigid_moderate,18,0.0035,0.0031,0.0099,0.0019,0.0017,0.0058,0.6111,0.0392,1.5663,6.6056
Dense,rigid_extreme,17,0.0116,0.0309,0.1301,0.0042,0.0068,0.0224,0.5294,0.0362,1.4774,6.3099
