Network,Density_Cat,Rigidity,entropy,mcmc_mean_err,pt_mean_err,n_queries
bn_n20_w6_rigid_extreme.bif,Dense,rigid_extreme,0.2432462555064107,0.005498276973333114,0.003159795656418886,14
bn_n20_w2_rigid_extreme.bif,Sparse,rigid_extreme,0.28906517322713216,0.0066089451782540415,0.002289975264241183,13
bn_n50_w2_rigid_extreme.bif,Sparse,rigid_extreme,0.3169049876342226,0.00377239055491955,0.002574898885957675,12
bn_n200_w2_rigid_extreme.bif,Sparse,rigid_extreme,0.3330828438510007,0.03461565828520986,0.027733702062207998,10
bn_n200_w6_rigid_extreme.bif,Dense,rigid_extreme,0.33420615202823895,0.015254415685275658,0.010975373099279049,12
bn_n100_w6_rigid_extreme.bif,Dense,rigid_extreme,0.3465593430802192,0.00596855634849546,0.00250161733614449,10
bn_n50_w6_rigid_extreme.bif,Dense,rigid_extreme,0.362840045076114,0.04207095714711403,0.0024727026164714366,14
bn_n100_w2_rigid_extreme.bif,Sparse,rigid_extreme,0.3660321898635221,0.006450449952321529,0.005876335203424072,14
bn_n20_w2_spread_bias_low.bif,Sparse,spread_bias_low,0.4714543496991649,0.0042112677497011305,0.00436176229822024,14
bn_n50_w2_spread_bias_high.bif,Sparse,spread_bias_high,0.4733533684108743,0.0028753131754116756,0.0033545374640177074,14
bn_n100_w2_spread_bias_high.bif,Sparse,spread_bias_high,0.486589013974723,0.003132836914413518,0.003980292183995064,14
bn_n50_w2_spread_bias_low.bif,Sparse,spread_bias_low,0.48961709851269447,0.002745566371017229,0.002615614031309236,14
bn_n100_w6_spread_bias_low.bif,Dense,spread_bias_low,0.49221927128653825,0.0010007211290396334,0.00176089424076795,6
bn_n200_w2_spread_bias_high.bif,Sparse,spread_bias_high,0.4942651071073486,0.0019418575176789498,0.0031848997154253545,11
bn_n200_w6_spread_bias_low.bif,Dense,spread_bias_low,0.4983530889245759,0.0024569287186019446,0.002064325234753773,7
bn_n20_w6_spread_bias_low.bif,Dense,spread_bias_low,0.49938227424513776,0.0029980103144692733,0.002951429983791364,14
bn_n50_w2_rigid_moderate.bif,Sparse,rigid_moderate,0.5046129954164109,0.0030524740349966674,0.0028699848042522172,13
bn_n200_w2_spread_bias_low.bif,Sparse,spread_bias_low,0.5084522268809503,0.005717427191491591,0.004210781970797881,10
bn_n20_w6_spread_bias_high.bif,Dense,spread_bias_high,0.512741457257739,0.0022722741312175,0.004302292501946072,14
bn_n50_w2_concentrated_bias_low.bif,Sparse,concentrated_bias_low,0.5183869295653086,0.0045284338564218875,0.0024426666102158818,11
bn_n100_w2_spread_bias_low.bif,Sparse,spread_bias_low,0.5237813578317627,0.0027659982586429,0.0024602226238905197,10
bn_n100_w6_spread_bias_high.bif,Dense,spread_bias_high,0.5240288095394824,0.0027159419958308058,0.0028028390241962857,12
bn_n50_w6_spread_bias_low.bif,Dense,spread_bias_low,0.5248339184630442,0.00344576258744304,0.00094537253634414,5
bn_n20_w2_spread_bias_high.bif,Sparse,spread_bias_high,0.5251945367593812,0.004212790583462347,0.003977835903180094,14
bn_n50_w6_spread_bias_high.bif,Dense,spread_bias_high,0.527762198571336,0.0033976419269646026,0.0035213011039449404,14
bn_n50_w2_concentrated_bias_high.bif,Sparse,concentrated_bias_high,0.5306481146621234,0.00153214525101705,0.0030792786341096584,14
bn_n200_w2_concentrated_bias_high.bif,Sparse,concentrated_bias_high,0.5339274747062623,0.004755319690841923,0.0038708108655041385,13
bn_n200_w6_spread_bias_high.bif,Dense,spread_bias_high,0.5358203194643,0.003487376159412779,0.0045007622669591,14
bn_n100_w2_concentrated_bias_high.bif,Sparse,concentrated_bias_high,0.5376729719655596,0.00231497239003268,0.0024016576096000603,5
