Network,N_Nodes,Density,Rigidity,Target_Bucket,Target_Node,Target_Value,Exact_SDP,Exact_Time_sec,MCMC_Mean_SDP,MCMC_Variance,MCMC_Avg_Time_sec,Absolute_Error
bn_n50_w12_dense_fuzzy.bif,50,dense,fuzzy,0.5,X20,1,0.4902881191030011,0.033820152282714844,0.4888,0.00014132326530612248,12.467072010040283,0.001488119103001062
bn_n50_w12_dense_fuzzy.bif,50,dense,fuzzy,0.6,X20,1,0.5899338436293472,0.03190898895263672,0.5899428571428571,0.00016069061224489794,12.137021327018738,9.013513509903426e-06
bn_n50_w12_dense_fuzzy.bif,50,dense,fuzzy,0.7,X20,1,0.6799950137816829,0.03242087364196777,0.6823428571428571,6.222530612244889e-05,12.042528176307679,0.0023478433611742178
bn_n50_w12_dense_fuzzy.bif,50,dense,fuzzy,0.8,X20,1,0.8238726746231431,0.034249305725097656,0.8265428571428572,3.452571428571441e-05,12.01161618232727,0.0026701825197141815
bn_n50_w12_dense_fuzzy.bif,50,dense,fuzzy,0.9,X20,1,0.863764102484018,0.03245902061462402,0.8629285714285715,3.3707142857142966e-05,12.135918617248535,0.0008355310554465367
bn_n50_w12_dense_fuzzy.bif,50,dense,fuzzy,1.0,X20,1,0.9612200889559257,0.03209257125854492,0.9620714285714286,5.005102040816399e-06,12.244521331787109,0.0008513396155028774
bn_n60_w6_medium_fuzzy.bif,60,medium,fuzzy,0.5,X0,1,0.5145356792533233,0.029542207717895508,0.5190857142857144,5.810693877551028e-05,11.977055287361145,0.004550035032391042
bn_n60_w6_medium_fuzzy.bif,60,medium,fuzzy,0.6,X0,1,0.5551838200424136,0.028559446334838867,0.5566857142857142,5.6435918367347234e-05,12.055177283287048,0.0015018942433006055
bn_n60_w6_medium_fuzzy.bif,60,medium,fuzzy,0.7,X0,1,0.6780710015540257,0.025806427001953125,0.6800714285714285,0.00014764183673469353,12.013809943199158,0.0020004270174028838
bn_n60_w6_medium_fuzzy.bif,60,medium,fuzzy,0.8,X0,1,0.7709815972996847,0.027222633361816406,0.7740142857142858,6.658551020408188e-05,12.04471321105957,0.003032688414601026
bn_n60_w6_medium_fuzzy.bif,60,medium,fuzzy,0.9,X0,1,0.8589246278577822,0.02913498878479004,0.8635571428571428,4.4989591836734716e-05,11.927669382095337,0.004632514999360571
