threshold,threshold_distance,number_subnetworks,n_hidden,max_partition_size,max_partition_tensor_size,exact_time_sec,exact_peak_memory_mb,exact_success,mcmc_avg_time_sec,mcmc_peak_memory_mb,mcmc_avg_estimate,mcmc_success,pt_avg_time_sec,pt_peak_memory_mb,pt_avg_estimate,pt_success,exact_peak_rss_mb,exact_sdp_result,exact_time_sec_original,exact_peak_memory_mb_original,exact_peak_rss_mb_original,exact_success_original,exact_sdp_result_original,mcmc_error,pt_error
0.5,0.23403459712859154,34,100,15,32768,0.06348527502268553,5.43977165222168,True,1.0860861683730036,1.346771240234375,1.0,True,4.161554971663281,1.143641471862793,1.0,True,0.0,1.0,0.5320416949689388,7.815906524658203,7.9375,True,1.0,0.0,0.0
0.6,0.3340345971285915,34,100,15,32768,0.08195659285411239,5.435882568359375,True,1.091195941809565,1.346832275390625,1.0,True,4.169991164980456,1.1435775756835938,1.0,True,0.0,1.0,0.5299789540003985,7.815832138061523,2.5625,True,1.0,0.0,0.0
0.7,0.4340345971285915,34,100,15,32768,0.08253413112834096,5.435890197753906,True,1.0909655951429158,1.346832275390625,1.0,True,4.175601760018617,1.1435775756835938,1.0,True,0.0,1.0,0.5275243900250643,7.816468238830566,1.0625,True,1.0,0.0,0.0
0.8,0.5340345971285916,34,100,15,32768,0.08289638999849558,5.435890197753906,True,1.0861153872217983,1.346832275390625,1.0,True,4.18319589602761,1.143585205078125,1.0,True,0.0,1.0,0.529748308006674,7.816410064697266,0.3125,True,1.0,0.0,0.0
0.9,0.6340345971285916,34,100,15,32768,0.06073500798083842,5.435890197753906,True,1.0942013169638813,1.346832275390625,1.0,True,4.166428091889247,1.1435775756835938,1.0,True,0.0,1.0,0.5312731750309467,7.816783905029297,0.0625,True,1.0,0.0,0.0
0.5,0.16009655445182552,40,100,12,4096,0.08153033698908985,1.5303955078125,True,1.0682026918046177,1.3433303833007812,0.843,True,4.040038349619135,1.1402130126953125,0.8353999999999999,True,0.0,0.8474916820311905,1.159623826155439,9.306554794311523,0.75,True,0.8474916820311904,0.004491682031190547,0.012091682031190598
0.6,0.2600965544518255,40,100,12,4096,0.0791150969453156,1.5304031372070312,True,1.0633361656218767,1.3433914184570312,1.0,True,4.044636707985774,1.1402816772460938,1.0,True,0.0,1.0,0.5621070410124958,9.306554794311523,0.0,True,1.0,0.0,0.0
0.7,0.3600965544518255,40,100,12,4096,0.07966976496390998,1.53033447265625,True,1.0683640765957534,1.3433990478515625,1.0,True,4.048803096357733,1.1402740478515625,1.0,True,0.0,1.0,0.5608271509408951,9.306554794311523,0.0,True,1.0,0.0,0.0
0.8,0.46009655445182557,40,100,12,4096,0.05969949788413942,1.5304031372070312,True,1.0581789451651276,1.3433914184570312,1.0,True,4.062492285296321,1.1402816772460938,1.0,True,0.0,1.0,0.5637219350319356,9.306554794311523,0.0,True,1.0,0.0,0.0
0.9,0.5600965544518255,40,100,12,4096,0.08037486486136913,1.53033447265625,True,1.0628194583579897,1.3433914184570312,1.0,True,4.053583493782208,1.1402816772460938,1.0,True,0.0,1.0,0.5635678928811103,9.306554794311523,0.0,True,1.0,0.0,0.0
0.5,9.609821998313173e-05,33,100,18,262144,0.2232109159231186,37.18000793457031,True,1.1172319113276898,1.4320755004882812,0.45760000000000006,True,4.2719894835725425,1.2286224365234375,0.4486,True,89.0625,0.4521976546992539,118.04219868197106,7.097018241882324,0.0,True,0.45219765469925377,0.005402345300746181,0.0035976546992538827
0.6,0.10009609821998311,33,100,18,262144,0.2301081579644233,37.17993927001953,True,1.117200898239389,1.4320755004882812,0.8331999999999999,True,4.269898112025112,1.2286739349365234,0.818,True,70.0625,0.8198792118286766,118.28228279203176,7.0970869064331055,0.0,True,0.8198792118286767,0.013320788171323317,0.0018792118286766746
0.7,0.2000960982199831,33,100,18,262144,0.22477350500412285,37.17994689941406,True,1.118712807400152,1.4320755004882812,0.9006000000000001,True,4.259085523104295,1.2286911010742188,0.8968,True,70.0625,0.8963735134034166,118.13788352790289,7.0970869064331055,0.0,True,0.8963735134034166,0.004226486596583423,0.0004264865965833975
0.8,0.3000960982199832,33,100,18,262144,0.07714729802682996,37.17994689941406,True,1.1247548945713788,1.4320755004882812,1.0,True,4.284783141640946,1.2286834716796875,1.0,True,49.4375,1.0,0.5312134958803654,7.0970869064331055,0.0,True,1.0,0.0,0.0
0.9,0.40009609821998315,33,100,18,262144,0.0972392619587481,37.17994689941406,True,1.119898305181414,1.4320755004882812,1.0,True,4.273417492024601,1.2287263870239258,1.0,True,49.4375,1.0,0.5325520699843764,7.0970869064331055,0.0,True,1.0,0.0,0.0
0.5,0.15625554352438314,33,100,11,2048,0.07723177503794432,1.1295700073242188,True,1.083351229596883,1.3343276977539062,0.9086000000000001,True,4.131256232829765,1.1311264038085938,0.9242000000000001,True,0.0,0.9133878224364448,0.6354709940496832,7.647521018981934,0.0,True,0.9133878224364446,0.004787822436444711,0.010812177563555347
0.6,0.2562555435243831,33,100,11,2048,0.07694129017181695,1.1295700073242188,True,1.082753779599443,1.3343276977539062,1.0,True,4.129385307012126,1.1311264038085938,1.0,True,0.0,1.0,0.467344107106328,7.647521018981934,0.0,True,1.0,0.0,0.0
0.7,0.3562555435243831,33,100,11,2048,0.07656184700317681,1.1295700073242188,True,1.0779856351669879,1.3342666625976562,1.0,True,4.1338858450297264,1.1311264038085938,1.0,True,0.0,1.0,0.4686191000510007,7.647521018981934,0.0,True,1.0,0.0,0.0
0.8,0.4562555435243832,33,100,11,2048,0.05594558408483863,1.1296310424804688,True,1.083744417829439,1.3343276977539062,1.0,True,4.125701728463173,1.1311264038085938,1.0,True,0.0,1.0,0.4651717080269009,7.647521018981934,0.0,True,1.0,0.0,0.0
0.9,0.5562555435243832,33,100,11,2048,0.07706403685733676,1.1295700073242188,True,1.0796633660327644,1.3342666625976562,1.0,True,4.146672544581816,1.1311264038085938,1.0,True,0.0,1.0,0.46592540200799704,7.647521018981934,0.0,True,1.0,0.0,0.0
